job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
ai00033,robotics engineer,146852,usd,se,ft,switzerland,s,switzerland,50,"nlp, scala, python",phd,7,real estate,2024-08-28,2024-09-20,684,5.3,cognitive computing
ai00034,ml ops engineer,178183,usd,ex,fl,finland,m,finland,0,"tableau, azure, gcp, linux, python",associate,16,education,2024-03-01,2024-03-19,1850,5.7,predictive systems
ai00035,deep learning engineer,150864,usd,se,fl,sweden,l,singapore,0,"r, gcp, mlops, linux",phd,8,consulting,2024-10-26,2024-12-25,1504,7.9,smart analytics
ai00036,head of ai,126942,usd,ex,ct,finland,l,netherlands,0,"git, hadoop, data visualization",associate,10,finance,2024-01-31,2024-02-26,1261,9.9,autonomous tech
ai00037,ai architect,53752,usd,mi,pt,japan,m,japan,100,"data visualization, tableau, aws, mathematics, python",associate,2,telecommunications,2024-10-17,2024-11-12,998,6.1,techcorp inc
ai00038,robotics engineer,111381,usd,ex,ct,israel,s,israel,0,"linux, pytorch, sql, statistics",master,18,government,2024-01-14,2024-03-12,1030,8.1,autonomous tech
ai00039,ai specialist,41430,usd,en,pt,china,m,china,50,"tableau, docker, gcp",bachelor,1,healthcare,2024-06-15,2024-07-29,2323,8.0,future systems
ai00040,data engineer,166080,eur,ex,fl,netherlands,l,netherlands,100,"computer vision, azure, tableau",associate,15,government,2024-03-01,2024-05-01,831,5.1,deeptech ventures
ai00041,data scientist,96956,usd,mi,ft,united states,m,china,0,"data visualization, azure, spark, mlops",bachelor,2,telecommunications,2024-02-24,2024-03-09,761,5.3,datavision ltd
ai00042,ai architect,196954,usd,se,fl,united states,l,united states,50,"java, mathematics, sql",bachelor,8,finance,2025-03-17,2025-04-16,2290,7.5,datavision ltd
ai00043,ai specialist,56745,usd,en,pt,finland,l,finland,100,"spark, mathematics, gcp",associate,1,telecommunications,2025-02-01,2025-04-11,502,5.5,quantum computing inc
ai00044,machine learning researcher,113455,usd,se,ft,singapore,m,singapore,50,"hadoop, docker, python, azure",associate,8,retail,2024-04-24,2024-06-12,1281,8.0,ai innovations
ai00045,ml ops engineer,158808,eur,se,pt,netherlands,m,netherlands,50,"docker, r, linux",bachelor,5,media,2025-03-03,2025-05-03,1926,7.4,future systems
ai00046,ai research scientist,174663,usd,se,ct,united states,m,singapore,50,"data visualization, statistics, r",associate,7,media,2024-01-10,2024-03-22,1151,5.4,deeptech ventures
ai00047,ai research scientist,46753,usd,en,ct,india,s,india,50,"scala, java, tableau",phd,1,manufacturing,2024-11-16,2024-12-18,2012,9.7,quantum computing inc
ai00048,ai software engineer,69020,usd,mi,fl,china,l,china,0,"java, azure, gcp",bachelor,4,energy,2024-09-05,2024-10-25,1584,8.8,techcorp inc
ai00049,ai specialist,288815,usd,ex,pt,switzerland,s,switzerland,0,"deep learning, git, data visualization, linux, java",bachelor,12,manufacturing,2024-08-08,2024-09-23,1930,7.2,cognitive computing
ai00050,ai consultant,124871,usd,ex,fl,austria,m,finland,50,"hadoop, aws, linux, docker, statistics",phd,19,media,2025-03-10,2025-05-17,1556,8.0,autonomous tech
ai00051,ai architect,70391,eur,mi,ft,germany,s,germany,0,"deep learning, sql, mathematics",phd,4,government,2024-08-16,2024-10-19,1974,9.2,techcorp inc
ai00052,research scientist,115376,usd,ex,ft,india,m,india,100,"linux, r, azure, mathematics, git",master,17,technology,2024-03-12,2024-04-14,2028,5.5,autonomous tech
ai00053,research scientist,106579,usd,mi,pt,united states,s,united states,100,"docker, tableau, mathematics",associate,3,gaming,2024-02-24,2024-05-02,2028,5.4,cognitive computing
ai00054,data scientist,135230,usd,se,pt,norway,s,norway,100,"r, pytorch, kubernetes, computer vision",phd,8,consulting,2024-07-07,2024-09-09,1219,7.5,datavision ltd
ai00055,research scientist,67607,usd,mi,pt,israel,s,israel,50,"python, tableau, tensorflow, aws",master,4,media,2024-08-05,2024-08-26,1714,8.6,quantum computing inc
ai00056,ai architect,88470,usd,mi,pt,canada,l,canada,0,"azure, kubernetes, tensorflow, statistics, spark",associate,3,real estate,2024-07-29,2024-09-27,1528,9.1,autonomous tech
ai00057,autonomous systems engineer,79863,usd,mi,fl,india,l,india,100,"python, docker, gcp, scala",associate,4,automotive,2024-09-28,2024-10-26,1325,5.6,autonomous tech
ai00058,machine learning engineer,60299,usd,en,pt,israel,l,israel,100,"git, linux, python, tensorflow, mathematics",phd,0,finance,2025-03-22,2025-05-01,1872,6.6,advanced robotics
ai00059,machine learning engineer,85645,eur,mi,ft,germany,m,germany,0,"pytorch, computer vision, r",associate,4,transportation,2024-02-09,2024-03-06,793,7.9,ai innovations
ai00060,ai software engineer,110222,gbp,se,fl,united kingdom,s,france,0,"r, spark, aws",associate,8,media,2024-03-20,2024-05-05,1945,9.0,techcorp inc
ai00061,data scientist,49365,usd,en,ft,china,m,china,0,"tableau, nlp, azure, statistics, pytorch",associate,1,finance,2024-06-22,2024-08-14,1907,10.0,predictive systems
ai00062,data scientist,162296,usd,se,pt,norway,s,norway,50,"tensorflow, azure, computer vision, data visualization",bachelor,6,finance,2024-06-05,2024-07-01,1714,6.2,neural networks co
ai00063,ai consultant,102382,usd,mi,pt,switzerland,m,switzerland,0,"tensorflow, scala, docker, statistics",phd,3,education,2024-03-23,2024-06-03,2199,5.8,smart analytics
ai00064,ai software engineer,99972,usd,mi,pt,australia,m,canada,50,"java, r, deep learning, nlp, azure",phd,4,technology,2024-02-20,2024-03-15,799,6.5,cloud ai solutions
ai00065,data engineer,64129,usd,en,ct,south korea,l,south korea,0,"java, git, deep learning",bachelor,0,manufacturing,2024-12-15,2025-02-11,909,7.1,machine intelligence group
ai00066,ai specialist,87938,usd,se,ft,ireland,s,ireland,100,"mathematics, spark, python, aws",phd,8,education,2024-12-15,2025-02-12,508,8.1,machine intelligence group
ai00067,autonomous systems engineer,71405,usd,mi,fl,israel,l,israel,0,"sql, java, mlops, linux, pytorch",associate,4,retail,2024-09-01,2024-10-29,1153,9.5,advanced robotics
ai00068,machine learning engineer,316182,usd,ex,pt,denmark,m,canada,0,"python, scala, statistics, git",associate,12,finance,2025-02-09,2025-02-23,2452,7.0,digital transformation llc
ai00069,machine learning researcher,72459,eur,en,pt,germany,m,germany,100,"hadoop, python, kubernetes, azure",bachelor,0,gaming,2024-08-30,2024-09-15,583,9.6,quantum computing inc
ai00070,principal data scientist,78338,eur,mi,ft,france,l,france,100,"mlops, kubernetes, git, python",associate,3,technology,2024-10-31,2024-12-15,548,8.7,cognitive computing
ai00071,nlp engineer,51907,usd,mi,fl,israel,m,singapore,100,"aws, kubernetes, azure",bachelor,4,healthcare,2024-02-14,2024-04-02,912,8.2,neural networks co
ai00072,autonomous systems engineer,122831,eur,se,fl,france,s,france,100,"pytorch, kubernetes, git, sql",master,7,real estate,2024-05-31,2024-06-19,761,8.4,algorithmic solutions
ai00073,machine learning researcher,124820,usd,mi,fl,norway,s,norway,50,"nlp, azure, statistics, spark, mathematics",associate,3,real estate,2024-08-02,2024-10-01,2077,9.9,cognitive computing
ai00074,autonomous systems engineer,134200,gbp,se,pt,united kingdom,s,united kingdom,50,"linux, r, tableau",phd,9,retail,2024-11-29,2025-01-09,2396,7.8,machine intelligence group
ai00075,data engineer,51920,usd,en,pt,sweden,s,finland,100,"scala, r, tableau, data visualization",phd,0,consulting,2025-04-08,2025-05-13,1778,7.9,digital transformation llc
ai00076,data engineer,56427,usd,en,fl,singapore,m,singapore,100,"mathematics, kubernetes, spark",master,0,energy,2024-11-16,2025-01-25,1366,5.2,deeptech ventures
ai00077,ai product manager,213783,usd,ex,ft,canada,s,canada,100,"kubernetes, spark, statistics, scala",bachelor,16,energy,2024-09-19,2024-10-06,2383,9.2,quantum computing inc
ai00078,ml ops engineer,59728,usd,mi,fl,israel,m,israel,50,"mlops, sql, statistics",associate,2,finance,2024-06-10,2024-08-13,1350,7.5,datavision ltd
ai00079,computer vision engineer,119432,usd,se,ct,india,l,india,0,"scala, mlops, nlp",phd,6,technology,2024-04-20,2024-06-08,1008,6.3,autonomous tech
ai00080,ai research scientist,284486,usd,ex,ct,united states,m,united states,0,"pytorch, linux, sql",master,12,consulting,2025-02-13,2025-03-10,2231,7.0,techcorp inc
ai00081,data analyst,157597,eur,ex,ct,france,l,france,50,"git, kubernetes, tensorflow, r, java",bachelor,17,manufacturing,2024-08-31,2024-09-15,639,8.4,neural networks co
ai00082,ml ops engineer,196942,usd,ex,ct,australia,l,australia,100,"r, tableau, sql, mlops, docker",master,19,gaming,2024-04-01,2024-04-16,826,7.5,techcorp inc
ai00083,machine learning researcher,207548,usd,ex,ct,canada,m,canada,0,"nlp, azure, spark, data visualization",phd,10,energy,2024-02-05,2024-03-11,2292,6.7,cognitive computing
ai00084,nlp engineer,68838,usd,mi,fl,sweden,s,sweden,50,"java, sql, spark, tableau, azure",phd,3,automotive,2024-06-20,2024-08-12,804,7.4,techcorp inc
ai00085,ml ops engineer,125666,usd,ex,fl,finland,l,finland,100,"docker, python, git, kubernetes, java",phd,13,telecommunications,2024-06-19,2024-08-22,757,8.4,techcorp inc
ai00086,nlp engineer,73174,usd,en,ft,denmark,m,denmark,50,"git, mlops, hadoop, python, spark",associate,0,finance,2024-07-14,2024-09-08,678,6.4,machine intelligence group
ai00087,autonomous systems engineer,33314,usd,en,ct,israel,s,india,50,"sql, kubernetes, docker",bachelor,0,manufacturing,2025-04-16,2025-06-15,1207,8.3,future systems
ai00088,ai specialist,69914,usd,en,ft,united states,s,united states,100,"r, nlp, sql, gcp",associate,0,transportation,2025-02-15,2025-04-15,1517,7.0,smart analytics
ai00089,principal data scientist,152118,eur,ex,fl,france,m,france,50,"spark, sql, python, mathematics, linux",master,11,automotive,2024-05-20,2024-07-14,1294,6.9,ai innovations
ai00090,ai software engineer,78014,eur,en,ct,france,l,france,50,"pytorch, hadoop, scala, computer vision",phd,0,real estate,2024-11-19,2024-12-07,841,6.8,digital transformation llc
ai00091,research scientist,48466,usd,en,pt,canada,s,canada,100,"hadoop, spark, kubernetes, python",bachelor,0,automotive,2025-03-10,2025-05-14,1146,5.7,predictive systems
ai00092,data analyst,97997,eur,se,ct,france,s,france,50,"hadoop, python, tensorflow, r, statistics",phd,8,technology,2024-06-19,2024-07-16,2419,6.0,algorithmic solutions
ai00093,principal data scientist,128341,usd,se,fl,singapore,s,singapore,0,"computer vision, pytorch, gcp, linux",bachelor,9,finance,2025-04-26,2025-06-15,2457,6.9,neural networks co
ai00094,ai research scientist,111528,usd,mi,fl,united states,l,united states,0,"java, hadoop, mathematics",phd,3,real estate,2024-03-01,2024-05-08,1299,9.5,predictive systems
ai00095,machine learning researcher,138945,usd,ex,pt,canada,s,canada,50,"linux, r, nlp, pytorch, git",master,19,education,2024-07-10,2024-09-15,1559,8.9,deeptech ventures
ai00096,nlp engineer,98688,usd,se,ft,israel,m,israel,50,"statistics, python, tensorflow, pytorch, git",bachelor,8,manufacturing,2024-04-10,2024-05-03,598,8.6,cognitive computing
ai00097,data analyst,109029,eur,se,ft,france,s,france,0,"kubernetes, scala, java",bachelor,6,technology,2025-04-05,2025-06-13,2049,6.1,predictive systems
ai00098,nlp engineer,84797,usd,mi,ft,canada,m,canada,0,"deep learning, statistics, computer vision, tensorflow, mathematics",master,4,real estate,2024-12-04,2025-01-03,1909,6.2,machine intelligence group
ai00099,machine learning researcher,290199,usd,ex,ct,switzerland,l,denmark,50,"python, aws, kubernetes, deep learning",master,12,retail,2025-01-12,2025-03-07,1137,5.6,smart analytics
ai00100,ai research scientist,195691,usd,se,ct,united states,l,united states,0,"aws, kubernetes, docker, mathematics, mlops",phd,8,transportation,2024-04-20,2024-06-22,916,8.7,advanced robotics
ai00101,ai product manager,193448,usd,se,ft,norway,l,norway,100,"scala, git, java",associate,9,consulting,2025-01-02,2025-03-11,579,6.6,cognitive computing
ai00102,ai product manager,138466,usd,ex,pt,israel,l,israel,100,"azure, aws, pytorch, gcp, hadoop",associate,16,government,2024-01-25,2024-04-04,1690,9.5,smart analytics
ai00103,data analyst,91577,eur,mi,ct,netherlands,m,netherlands,100,"spark, mathematics, pytorch, sql, tensorflow",bachelor,3,transportation,2024-01-27,2024-02-28,859,6.5,algorithmic solutions
ai00104,computer vision engineer,92875,usd,mi,ft,sweden,s,sweden,0,"sql, python, deep learning",phd,3,real estate,2024-07-21,2024-09-27,701,5.3,digital transformation llc
ai00105,data engineer,213287,gbp,ex,ft,united kingdom,s,united kingdom,100,"tensorflow, gcp, pytorch, spark",master,13,healthcare,2025-03-03,2025-04-03,1102,6.3,cloud ai solutions
ai00106,nlp engineer,62171,usd,mi,ft,japan,s,japan,0,"git, sql, pytorch, mathematics",bachelor,2,consulting,2024-09-15,2024-11-07,2162,8.1,ai innovations
ai00107,ai research scientist,152658,usd,ex,fl,south korea,l,united kingdom,50,"data visualization, pytorch, spark, tensorflow",associate,16,automotive,2024-01-28,2024-03-17,548,9.0,techcorp inc
ai00108,ml ops engineer,95085,usd,mi,ft,norway,m,norway,100,"tensorflow, sql, nlp, computer vision, git",associate,2,retail,2024-03-20,2024-04-20,2298,6.5,predictive systems
ai00109,deep learning engineer,86750,eur,mi,fl,france,s,france,100,"java, r, git, mathematics, spark",phd,2,government,2024-12-13,2025-02-24,1397,7.1,ai innovations
ai00110,ai specialist,64261,usd,mi,pt,israel,m,israel,0,"pytorch, docker, gcp",master,2,transportation,2024-09-04,2024-10-10,2385,8.8,techcorp inc
ai00111,machine learning researcher,205357,usd,ex,pt,united states,s,united states,100,"computer vision, hadoop, git, aws",bachelor,18,education,2024-03-08,2024-05-13,1646,6.6,predictive systems
ai00112,ai architect,165676,eur,ex,ct,france,s,france,50,"tensorflow, linux, sql, hadoop",associate,18,government,2024-05-13,2024-06-25,926,7.8,neural networks co
ai00113,computer vision engineer,114658,eur,se,ct,france,m,france,100,"sql, scala, python",bachelor,9,telecommunications,2024-03-18,2024-04-20,1560,8.2,algorithmic solutions
ai00114,data scientist,143149,eur,se,fl,france,l,france,50,"nlp, computer vision, mathematics, statistics, r",master,6,real estate,2024-03-13,2024-05-10,1169,9.1,digital transformation llc
ai00115,machine learning researcher,116276,eur,se,fl,germany,s,germany,50,"azure, r, linux, mlops",bachelor,7,technology,2024-08-14,2024-09-06,608,7.9,future systems
ai00116,nlp engineer,61055,usd,en,fl,united states,m,ireland,100,"r, aws, computer vision, statistics, docker",bachelor,0,retail,2024-06-04,2024-07-16,1891,6.9,autonomous tech
ai00117,ml ops engineer,50303,usd,en,ft,austria,l,austria,100,"kubernetes, sql, azure, deep learning, linux",master,0,gaming,2024-08-11,2024-10-02,2015,7.0,datavision ltd
ai00118,data analyst,65570,usd,se,fl,ireland,s,ireland,50,"pytorch, sql, mlops, aws, tensorflow",associate,7,retail,2024-10-22,2024-11-06,635,9.9,smart analytics
ai00119,ai software engineer,231078,usd,ex,fl,singapore,m,singapore,50,"mlops, r, git, mathematics",bachelor,17,consulting,2024-04-15,2024-06-03,784,7.6,neural networks co
ai00120,ai product manager,106633,usd,se,ft,australia,m,south korea,100,"linux, scala, sql, git",bachelor,9,automotive,2024-05-18,2024-06-25,1243,5.5,algorithmic solutions
ai00121,ai specialist,121180,usd,se,fl,austria,l,austria,0,"git, deep learning, kubernetes, linux, gcp",master,9,media,2025-01-06,2025-02-01,611,7.0,quantum computing inc
ai00122,principal data scientist,64531,usd,en,pt,china,l,netherlands,50,"git, sql, scala, python, computer vision",phd,0,retail,2025-03-26,2025-04-13,1645,7.0,smart analytics
ai00123,machine learning engineer,125654,usd,mi,ct,singapore,l,singapore,50,"python, tableau, java",phd,4,automotive,2024-06-20,2024-08-25,1212,6.8,datavision ltd
ai00124,machine learning researcher,182275,usd,ex,ft,austria,l,austria,0,"docker, aws, linux, git, azure",phd,14,technology,2025-04-19,2025-05-14,2427,9.0,deeptech ventures
ai00125,machine learning researcher,117708,usd,mi,fl,denmark,l,denmark,0,"pytorch, scala, linux, tableau, deep learning",phd,4,transportation,2024-02-24,2024-03-17,1912,9.3,neural networks co
ai00126,data engineer,143246,usd,ex,ft,south korea,s,south korea,0,"docker, sql, kubernetes, git, statistics",master,11,healthcare,2024-12-25,2025-01-24,1426,8.4,future systems
ai00127,ai product manager,203198,usd,se,ft,denmark,l,denmark,50,"statistics, r, python, tensorflow",master,5,consulting,2024-12-04,2025-01-11,1596,7.6,deeptech ventures
ai00128,research scientist,69487,usd,en,ct,switzerland,s,switzerland,0,"kubernetes, azure, spark, tensorflow, linux",master,0,transportation,2024-11-04,2024-12-02,1825,7.7,machine intelligence group
ai00129,ai product manager,95673,usd,ex,fl,ireland,s,ireland,0,"gcp, r, azure, deep learning, pytorch",associate,17,technology,2024-08-24,2024-09-15,1467,8.1,neural networks co
ai00130,ai software engineer,59405,usd,en,fl,austria,l,austria,100,"spark, python, deep learning, linux, java",bachelor,1,consulting,2025-03-18,2025-04-12,984,6.0,smart analytics
ai00131,ai specialist,131756,eur,se,pt,netherlands,m,finland,0,"aws, r, spark",phd,5,technology,2024-08-03,2024-10-15,2308,7.9,ai innovations
ai00132,ai software engineer,42835,usd,en,pt,south korea,l,france,0,"python, tensorflow, pytorch",bachelor,0,media,2025-03-02,2025-03-30,539,9.0,machine intelligence group
ai00133,autonomous systems engineer,61893,usd,en,ft,canada,m,canada,50,"statistics, python, sql",associate,1,consulting,2024-03-28,2024-05-01,1419,5.2,predictive systems
ai00134,ml ops engineer,141791,eur,ex,ct,france,m,france,0,"hadoop, azure, python, r",phd,13,media,2025-02-03,2025-02-23,2136,5.8,algorithmic solutions
ai00135,ai product manager,258637,gbp,ex,pt,united kingdom,m,united kingdom,50,"computer vision, gcp, azure, sql, python",master,11,education,2025-01-16,2025-02-15,813,9.1,cognitive computing
ai00136,nlp engineer,49485,usd,mi,ft,finland,s,finland,0,"hadoop, java, data visualization",associate,2,technology,2024-08-09,2024-09-16,909,7.8,cloud ai solutions
ai00137,robotics engineer,172916,usd,se,pt,norway,s,india,100,"computer vision, sql, pytorch, java",bachelor,8,manufacturing,2024-12-29,2025-01-15,1630,7.6,smart analytics
ai00138,machine learning engineer,324557,usd,ex,ft,denmark,l,denmark,100,"hadoop, python, git, tensorflow",phd,11,telecommunications,2024-11-06,2024-11-24,1209,7.3,machine intelligence group
ai00139,ai consultant,73894,eur,mi,ct,france,m,france,50,"pytorch, statistics, mlops, kubernetes, computer vision",bachelor,4,consulting,2024-08-08,2024-09-12,1070,5.2,digital transformation llc
ai00140,principal data scientist,122598,usd,se,ft,sweden,s,india,50,"linux, aws, computer vision, deep learning",associate,9,media,2025-01-05,2025-02-13,1181,5.2,digital transformation llc
ai00141,data scientist,94478,usd,mi,fl,denmark,s,denmark,100,"pytorch, tensorflow, hadoop, python",phd,4,retail,2024-05-24,2024-06-25,506,8.4,algorithmic solutions
ai00142,autonomous systems engineer,53088,usd,en,pt,austria,m,austria,50,"gcp, kubernetes, computer vision, deep learning, sql",phd,1,finance,2025-04-12,2025-06-13,2090,9.0,machine intelligence group
ai00143,machine learning researcher,116012,usd,mi,ft,denmark,m,australia,0,"sql, mlops, python",master,3,automotive,2024-09-23,2024-10-30,657,7.9,predictive systems
ai00144,deep learning engineer,35593,usd,en,ct,china,s,china,0,"python, hadoop, deep learning",bachelor,0,media,2024-03-09,2024-04-07,1812,6.3,ai innovations
ai00145,ai product manager,149053,usd,ex,ft,austria,s,austria,0,"gcp, linux, r, hadoop",master,17,media,2024-11-17,2024-12-26,652,5.5,smart analytics
ai00146,principal data scientist,88230,usd,mi,ft,austria,l,austria,0,"tensorflow, git, azure, python",associate,4,education,2024-05-22,2024-07-27,1984,7.6,deeptech ventures
ai00147,ai research scientist,224919,usd,ex,fl,australia,m,switzerland,100,"kubernetes, deep learning, pytorch",associate,19,education,2024-12-02,2025-01-24,911,5.7,techcorp inc
ai00148,machine learning researcher,220439,eur,ex,pt,netherlands,s,netherlands,100,"sql, data visualization, gcp, deep learning, mlops",associate,12,manufacturing,2024-03-30,2024-04-15,1795,9.9,techcorp inc
ai00149,nlp engineer,48861,usd,en,pt,finland,s,finland,100,"gcp, python, computer vision, git",bachelor,0,healthcare,2024-07-04,2024-08-11,1031,8.1,deeptech ventures
ai00150,ai specialist,115841,usd,se,fl,united states,s,united states,0,"tensorflow, kubernetes, deep learning",phd,7,healthcare,2024-10-25,2024-12-11,1446,7.2,quantum computing inc
ai00151,nlp engineer,57266,usd,mi,fl,ireland,m,ireland,0,"computer vision, pytorch, linux, tensorflow",bachelor,3,media,2024-08-11,2024-08-26,1075,7.3,neural networks co
ai00152,deep learning engineer,66384,usd,mi,ct,australia,s,israel,0,"git, tableau, hadoop, computer vision",associate,2,government,2024-04-21,2024-05-24,1421,9.1,autonomous tech
ai00153,data analyst,184637,usd,ex,pt,sweden,s,sweden,100,"r, sql, data visualization",bachelor,11,government,2024-05-23,2024-07-09,2292,5.5,machine intelligence group
ai00154,ai research scientist,92445,eur,mi,ct,netherlands,m,finland,50,"linux, python, scala, docker",bachelor,4,technology,2024-10-22,2024-12-24,826,9.2,datavision ltd
ai00155,machine learning researcher,57388,usd,en,fl,canada,l,canada,0,"python, gcp, tensorflow",associate,1,consulting,2024-01-12,2024-02-12,1684,8.3,smart analytics
ai00156,head of ai,53374,usd,mi,pt,china,m,china,0,"docker, deep learning, r",phd,2,government,2024-06-22,2024-07-31,2224,9.5,algorithmic solutions
ai00157,ai research scientist,95716,usd,se,ct,finland,s,finland,50,"git, spark, azure, statistics",phd,6,media,2024-03-19,2024-04-05,1811,7.4,digital transformation llc
ai00158,nlp engineer,157091,usd,mi,fl,norway,l,norway,0,"python, java, kubernetes, sql, nlp",phd,2,transportation,2025-03-04,2025-03-24,1002,7.7,datavision ltd
ai00159,ml ops engineer,204144,usd,se,fl,norway,l,norway,100,"hadoop, mathematics, linux",phd,8,telecommunications,2024-12-12,2025-01-03,1663,9.5,autonomous tech
ai00160,ai software engineer,190314,eur,ex,ct,netherlands,m,netherlands,100,"gcp, computer vision, scala, aws, linux",phd,12,government,2024-05-23,2024-07-22,521,9.9,digital transformation llc
